query_name,avg_time_ms,std_dev_ms,min_time_ms,max_time_ms
C04_disciplina_equipamentos_sala.sql,549.31,67.92,440.91,664.69
C08_disponibilidade_equipamentos_por_horario.sql,337.52,43.91,279.53,421.05
C03_capacidade_sala_alunos.sql,260.65,28.8,239.41,356.54
C10_horarios_ocupados_sala.sql,22.3,3.03,17.31,29.37
C05_horarios_livres_professor.sql,21.61,3.64,18.94,33.05
C13_disciplinas_multiplas_turmas.sql,3.82,1.62,2.47,8.8
C14_turmas_aluno.sql,2.65,0.34,2.0,3.38
C02_horarios_mais_livres.sql,2.62,0.62,2.0,4.88
C20_dias_maior_carga_aluno.sql,2.5,0.17,2.2,2.86
C06_dias_maior_carga_professor.sql,2.11,0.17,1.88,2.66
C07_estoque_equipamentos.sql,2.02,0.31,1.47,2.58
C16_salas_alunos_deficiencia.sql,1.95,0.15,1.76,2.51
C19_carga_horaria_aluno.sql,1.94,0.22,1.62,2.57
C18_distribuicao_disciplinas_professor.sql,1.93,0.12,1.73,2.14
C01_matriculas_por_turma.sql,1.9,0.11,1.7,2.1
C15_vagas_por_turma.sql,1.89,0.09,1.74,2.1
C09_quantidade_turmas_sala.sql,1.83,0.13,1.64,2.21
C11_horarios_mais_requisitados.sql,1.82,0.15,1.62,2.09
C12_turmas_proximas_capacidade_maxima.sql,1.79,0.09,1.67,2.01
C17_carga_horaria_professor.sql,1.51,0.16,1.28,1.78
